3;01/01/2023;1256.8
1;03/01/2023;4531.9
2;05/01/2023;2819.4
3;01/02/2023;1987.1
2;15/02/2023;4892.1
1;20/02/2023;3519.7
3;01/03/2023;4678.9
1;10/03/2023;1992.5
2;25/03/2023;4211.2
3;01/04/2023;1813.9
2;12/04/2023;4958.4
1;28/04/2023;3129.1
3;01/05/2023;4823.5
1;08/05/2023;2397.8
2;20/05/2023;4502.6
3;01/06/2023;1928.3
2;11/06/2023;4922.9
1;22/06/2023;3281.6
3;01/07/2023;4567.8
1;05/07/2023;2039.5
2;19/07/2023;4859.2
3;01/08/2023;2349.9
1;09/08/2023;4993.1
2;25/08/2023;3613.7
3;01/09/2023;4753.4
1;07/09/2023;2678.8
2;18/09/2023;4441.1
3;01/10/2023;2229.1
1;12/10/2023;5139.7
2;29/10/2023;3947.5
3;01/11/2023;4713.9
1;08/11/2023;2898.2
2;21/11/2023;4374.3
2;01/12/2023;2499.6
1;11/12/2023;5245.2
2;26/12/2023;4083.3
